date;rank_step4;event_start_utc;event_duration_h;pre_peak_offset_h;offered_compensation_pct;final_participation_rate_pct;total_jasm_load_in_event_mwh;total_dispatched_energy_mwh;avg_dispatched_power_mw;avg_srl_price_in_event_chf_kwh;avoided_srl_costs_chf;compensation_chf_per_hh_simulated;total_compensation_ch_estimate;net_benefit_chf_total_ch_estimate
2024-01-10;2;2024-01-10 16:00:00;2.0;1.0;0.0;30.376344086021508;522.731645545;158.7867632972715;79.39338164863575;0.5244899303355903;76505.17671991554;0.0;0.0;76505.17671991554
2024-01-10;2;2024-01-10 15:00:00;2.0;2.0;0.0;30.376344086021508;270.554606202;82.1845981205;41.09229906025;0.6843257170578445;66281.92672183477;0.0;0.0;66281.92672183477
2024-12-04;3;2024-12-04 14:45:00;4.0;2.0;0.0;30.376344086021508;666.434106417625;202.43831727202053;50.60957931800513;0.3509399109377291;66144.45027464774;0.0;0.0;66144.45027464774
2024-12-30;1;2024-12-30 14:45:00;4.0;2.0;0.0;30.376344086021508;666.434106417625;202.43831727202053;50.60957931800513;0.3888891596016433;56307.122077449174;0.0;0.0;56307.122077449174
2024-12-30;1;2024-12-30 15:45:00;4.0;1.0;0.0;30.376344086021508;668.31219049225;203.00881055275337;50.75220263818834;0.2791666279021046;50785.275492795685;0.0;0.0;50785.275492795685
2024-12-04;3;2024-12-04 15:45:00;2.0;1.0;0.0;30.376344086021508;457.434917517625;138.95200451476245;69.47600225738123;0.3529532148483707;46702.836629056634;0.0;0.0;46702.836629056634
2024-12-04;3;2024-12-04 16:45:00;2.0;0.0;0.0;30.376344086021508;438.11312141;133.08274924551077;66.54137462275538;0.2919825298783188;39910.062324679704;0.0;0.0;39910.062324679704
2024-12-30;1;2024-12-30 15:45:00;2.0;1.0;0.0;30.376344086021508;457.434917517625;138.95200451476245;69.47600225738123;0.3918326482193554;38830.41448856448;0.0;0.0;38830.41448856448
2024-12-30;1;2024-12-30 16:45:00;4.0;0.0;0.0;30.376344086021508;509.9237328547501;154.89618766824395;38.72404691706099;0.1848215687577231;34346.41158462012;0.0;0.0;34346.41158462012
2024-12-30;1;2024-12-30 16:45:00;2.0;0.0;0.0;30.376344086021508;438.11312141;133.08274924551077;66.54137462275538;0.2170863771744431;31005.815582286756;0.0;0.0;31005.815582286756
2024-12-04;3;2024-12-04 14:45:00;2.0;2.0;0.0;30.376344086021508;228.320985007625;69.35556802650974;34.67778401325487;0.4098972919971394;26234.38794996804;0.0;0.0;26234.38794996804
2024-12-30;1;2024-12-30 14:45:00;2.0;2.0;0.0;30.376344086021508;228.320985007625;69.35556802650974;34.67778401325487;0.5606919420288434;25301.30649516242;0.0;0.0;25301.30649516242
2024-01-10;2;2024-01-10 16:00:00;2.0;1.0;0.3387;30.376344086021508;522.731645545;158.7867632972715;79.39338164863575;0.5244899303355903;76505.17671991554;0.2946689999999999;268529.0080645161;-192023.8313446006
